brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,cell_asuLevel,cell_dbm,cell_level,cell_mcc,cell_mnc,cell_mobileNetworkOperator,cell_rssi,cell_timingAdvance,cell_bands,cell_bandwidth,cell_ci,cell_earfcn,cell_tac,cell_rsrp,cell_rsrq,cell_rssnr
vivo,V2047A,11,4G,China Telecom,zhejiangsheng,wenzhoushi,6.5,7f4e0147f2dbd307026c50c375d26d2c,33,-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107,1,460,11,46011,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,0,[],10000,85708306,2452,58953,-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107;-107,-12;-12;-12;-12;-12;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15,0
vivo,V2047A,11,4G,China Mobile,chongqingshi,chongqingshi,50.7,929080d6d1dc48ce5c6afe2c6ff8ca5d,50,-90;-90;-90;-90;-90;-88;-88;-88;-88;-87;-87;-87,3,460,0,46000,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,0,[],20000,24244994,38950,13056,-90;-90;-90;-90;-90;-88;-88;-88;-88;-87;-87;-87,-3;-3;-3;-3;-3;-9;-9;-9;-9;-10;-10;-10,3
vivo,V2046A,11,4G,China Telecom,anhuisheng,fuyangshi,63.7,caa2c81281dfbb793ed4e676849dbcd4,63,-77;-77;-77;-77;-77;-75;-75;-75;-75;-75;-76;-76;-76;-76;-72;-72;-72;-72;-72;-72;-72;-72,4,460,11,46011,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,3,[],20000,96623876,1550,56992,-77;-77;-77;-77;-77;-75;-75;-75;-75;-75;-76;-76;-76;-76;-72;-72;-72;-72;-72;-72;-72;-72,-3;-3;-3;-3;-3;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7;-7,2
vivo,V2002A,10,4G,China Mobile,shandongsheng,taianshi,37.4,0090bd59674111ec844015df98b6b82c,33,-107;-107;-107;-107;-107;-108,1,460,0,46000,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,4,['Added in API level 30'],20000,164549212,1300,21380,-107;-107;-107;-107;-107;-108,-7;-7;-7;-7;-7;-9,8
vivo,V2046A,11,4G,China Mobile,anhuisheng,hefeishi,41.2,1bd744dcc3d46080d4d4d455db855250,37,-103;-102;-102;-102,2,460,0,46000,2147483647;2147483647;2147483647;2147483647,1,[],20000,98464286,38950,21763,-103;-102;-102;-102,-5;-5;-5;-5,1
vivo,V2068A,11,4G,China Mobile,guangdongsheng,zhongshanshi,21.8,fb27cb51d37fa2798b9efbe810dff14c,28,-112;-112;-112;-112;-112;-112;-112;-112;-113;-113;-113;-113;-113;-114;-114;-114;-114;-114;-114;-114;-114;-115,1,460,11,46011,-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-99;-99;-99;-99;-99;-99;-99;-99;-99,2147483647,[],2147483647,129076784,1850,31517,-112;-112;-112;-112;-112;-112;-112;-112;-113;-113;-113;-113;-113;-114;-114;-114;-114;-114;-114;-114;-114;-115,-13;-13;-13;-13;-13;-13;-13;-13;-14;-14;-14;-14;-14;-15;-15;-15;-15;-15;-15;-15;-15;-17,0
vivo,V2046A,11,4G,China Telecom,hunansheng,xiangtanshi,101.1,27dde9c5bd999fbcf694411a7ea2fd03,46,-94;-94;-93;-93;-93;-93;-93;-93;-93;-93;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92,3,460,11,46011,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,26,[],10000,19903123,2452,34975,-94;-94;-93;-93;-93;-93;-93;-93;-93;-93;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92;-92,-10;-10;-9;-9;-9;-9;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10,0
vivo,V2046A,11,4G,China Unicom,weizhi,weizhi,57.6,3d4771bccc6f1d6c5aaf66f1f5bb4f20,28,-112;-112,1,460,1,46001,-65;-65,1,[],20000,35131525,300,1039,-112;-112,-6;-6,0
vivo,V2047A,11,4G,China Unicom,guangdongsheng,guangzhoushi,106.7,724a280dae077cbf7bf1281259d5fe45,39,-101,2,460,1,46001,2147483647,0,[],20000,67778704,300,9505,-101,-9,0
vivo,V1938CT,10,4G,China Mobile,hunansheng,yiyangshi,7.7,2d7c0ad004da58500a7a8662dd614057,40,-100;-100,2,460,11,46011,2147483647;2147483647,0,['Added in API level 30'],10000,145605651,2452,35470,-100;-100,-9;-9,4
vivo,V2072A,11,4G,China Mobile,guangdongsheng,yangjiangshi,9.4,ce650f08ea078f427bd10bdf2d2820b6,73,-67;-67,4,460,0,46000,-75;-75,7,[],2147483647,230390082,3590,9388,-67;-67,-8;-8,2
vivo,V1962A,10,4G,China Mobile,henansheng,nanyangshi,117.8,a32a486cb3189fb5d91bf303185463fc,53,-87;-87,3,460,0,46000,2147483647;2147483647,1,['Added in API level 30'],20000,27655248,38950,14272,-87;-87,-4;-4,31
vivo,V2156A,11,4G,China Mobile,neimengguzizhiqu,xilinguoleimeng,11.6,4c00bea7a8c73eb30c38e86760e41c99,28,-112;-112;-112;-113;-113;-113;-113;-111;-111;-111;-111;-111;-110;-110;-110;-110;-110;-111;-111;-111;-111;-111;-111,1,460,0,46000,-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97;-97,57,[],2147483647,102522243,3590,18330,-112;-112;-112;-113;-113;-113;-113;-111;-111;-111;-111;-111;-110;-110;-110;-110;-110;-111;-111;-111;-111;-111;-111,-10;-10;-10;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11,0
vivo,V1962A,10,4G,China Telecom,hebeisheng,xingtaishi,61.6,6b59cbb0ec89298d510e7b7263831f52,77,-63;-63;-61;-63;-61;-63;-61;-63;-61;-59;-63;-59;-63;-59;-63;-59;-63;-58;-59;-58;-59;-58;-59;-58;-59;-58;-59;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58,4,460,11,46011,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,8,['Added in API level 30'],20000,39096081,1650,5838,-63;-63;-61;-63;-61;-63;-61;-63;-61;-59;-63;-59;-63;-59;-63;-59;-63;-58;-59;-58;-59;-58;-59;-58;-59;-58;-59;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58,-5;-5;-5;-5;-5;-5;-5;-5;-5;-9;-5;-9;-5;-9;-5;-9;-5;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-8;-9;-8;-9;-8;-9;-8;-9;-8;-9;-8;-9;-8;-9,20
