brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,wifi_rssi,wifi_linkSpeed,wifi_hiddenSSID,wifi_frequency,wifi_rxLinkSpeedMbps,wifi_txLinkSpeedMbps,wifi_maxSupportedRxLinkSpeedMbps,wifi_maxSupportedTxLinkSpeedMbps,wifi_wifiStandard
OPPO,PENM00,11,WIFI,China Telecom,guangdongsheng,dongguanshi,325.6,5a241d7ed3dd3ffb76fccd695c616d59,-58;-58;-58;-58,1200;1200;1200;1200,FALSE,5200,1200;1200;1200;1200,1200;1200;1200;1200,1200,1200,6
vivo,V2118A,11,WIFI,China Telecom,guangdongsheng,shenzhenshi,284.8,32d99aa113165e8221866fb0732de633,-37;-35;-35;-35,1200;1200;1200;1200,FALSE,5745,6;864;864;960,864;720;720;1080,1200,1200,6
vivo,V2133A,11,WIFI,China Mobile,guangdongsheng,dongguanshi,142.5,814f24f66c40da88372462d4b4dd67ac,-33;-33;-33;-34,286;286;286;286,FALSE,2437,2;2;2;286,229;229;229;229,573,573,6
realme,RMX3366,11,WIFI,China Unicom,jiangsusheng,nantongshi,67,58c981bfd4d89191ff49033ad350a11d,-59;-59;-59;-59,286;286;286;286,FALSE,2437,286;286;286;286,286;286;286;286,286,286,6
OnePlus,LE2110,11,WIFI,China Mobile,heilongjiangsheng,qiqihaershi,402.1,11e2317b111de56740360a92465e8a2a,-37;-37;-37;-37,1200;1200;1200;1200,FALSE,5220,1200;1200;1200;1200,1200;1200;1200;1200,2401,2401,6
OnePlus,LE2110,11,WIFI,China Mobile,heilongjiangsheng,qiqihaershi,457.3,11e2317b111de56740360a92465e8a2a,-45;-45;-45;-45;-45;-45;-45;-44;-44;-44;-44;-44;-44;-47;-47;-47;-47;-47;-47;-50;-50;-50,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,FALSE,5220,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200,2401,2401,6
vivo,V2049A,11,WIFI,China Telecom,sichuansheng,dazhoushi,647,e20fd375e5cf9782c647672b71761cac,-30;-30;-30;-27,2401;2401;2401;2401,FALSE,5220,1814;1814;1814;1184,1253;1253;1253;1729,2401,2401,6
vivo,V2121A,11,WIFI,China Telecom,henansheng,zhengzhoushi,23.6,dc60f8ad469b82b233e5b5bdfef0d0f1,-76;-76;-75;-75,600;600;600;600,FALSE,5785,72;72;72;72,51;51;144;144,600,600,6
vivo,V2055A,11,WIFI,China Telecom,shanghaishi,shanghaishi,849.6,1f4af35af1e9f471069e3a40b05e557e,-43;-43,1200;1200,FALSE,5300,1080;1080,1200;1200,1200,1200,6
vivo,V2055A,11,WIFI,China Telecom,xinjiangweiwuerzizhiqu,changjihuizuzizhizhou,491.1,1c141b7f4a79fb8a54b353c3597047b0,-41;-41;-41;-41,1200;1200;1200;1200,FALSE,5220,960;960;626;626,960;960;1080;1080,1200,1200,6
